rating,location,amount,ratings,deskripsiRating,jumlahReviews,Fasilitas_Restaurant,Fasilitas_BAR,Fasilitas_Internet,Fasilitas_GYM,Fasilitas_SwimmingPool
7.8 Very GoodFrom 10 reviews,Stokol,13500,7.8,Very Good,10,True,True,False,False,True
5.6 GoodFrom 4 reviews,Machlessvile,13000,5.6,Good,4,True,False,False,True,False
7.2 Very GoodFrom 38 reviews,Wanderland,19000,7.2,Very Good,38,True,True,False,True,True
7.3 Very GoodFrom 6 reviews,Uberlandia,6000,7.3,Very Good,6,True,True,False,False,False
7.2 Very GoodFrom 30 reviews,Stokol,20000,7.2,Very Good,30,True,False,True,False,False
5.4 GoodFrom 13 reviews,Uberlandia,4000,5.4,Good,13,False,False,True,False,False
7.9 Very GoodFrom 3 reviews,Hallerson,15000,7.9,Very Good,3,False,True,False,False,False
7.3 Very GoodFrom 7 reviews,Willsmian,13500,7.3,Very Good,7,True,True,False,False,False
,Andeman,7475,,,,True,True,False,False,False
7.7 Very GoodFrom 8 reviews,Stokol,20000,7.7,Very Good,8,True,True,False,False,False
6.9 Very GoodFrom 23 reviews,Willsmian,17000,6.9,Very Good,23,True,True,True,True,True
9.6 ExcellentFrom 2 reviews,Stokol,15000,9.6,Excellent,2,True,True,True,False,False
From 1 review,Stokol,7500,,,1,True,True,False,False,False
,Stokol,14904,,,,True,False,True,False,False
7.4 Very GoodFrom 50 reviews,Andeman,20000,7.4,Very Good,50,True,True,False,False,False
5.4 GoodFrom 13 reviews,Uberlandia,4000,5.4,Good,13,False,False,False,False,False
,Machlessvile,3200,,,,,,,,
,Stokol,25000,,,,False,True,False,False,False
9.6 ExcellentFrom 2 reviews,Andeman,12800,9.6,Excellent,2,True,True,False,False,False
2.4 FairFrom 4 reviews,Stokol,8000,2.4,Fair,4,True,True,True,False,True
7.8 Very GoodFrom 4 reviews,Hallerson,10000,7.8,Very Good,4,True,True,False,False,False
9.6 ExcellentFrom 1 review,Stokol,8000,9.6,Excellent,1,True,True,False,False,False
7.8 Very GoodFrom 2 reviews,Wanderland,8000,7.8,Very Good,2,False,True,False,False,False
7.2 Very GoodFrom 16 reviews,Stokol,17000,7.2,Very Good,16,True,True,True,True,True
8.1 ExcellentFrom 3 reviews,Stokol,7000,8.1,Excellent,3,True,False,False,False,True
,Wanderland,2500,,,,False,True,False,False,False
8.8 ExcellentFrom 36 reviews,Stokol,25000,8.8,Excellent,36,False,True,True,False,True
8.0 ExcellentFrom 6 reviews,Ubisville,20000,8.0,Excellent,6,True,True,False,False,False
7.4 Very GoodFrom 43 reviews,Hallerson,11500,7.4,Very Good,43,False,True,False,False,False
6.0 Very GoodFrom 43 reviews,Wanderland,15000,6.0,Very Good,43,,,,,
,Machlessvile,7452,,,,True,True,False,False,False
7.2 Very GoodFrom 12 reviews,Uberlandia,9000,7.2,Very Good,12,True,False,False,False,False
,Stokol,15000,,,,True,True,True,False,False
8.0 ExcellentFrom 9 reviews,Andeman,25000,8.0,Excellent,9,True,True,False,False,True
,Andeman,2500,,,,False,True,False,False,False
8.8 ExcellentFrom 2 reviews,Wanderland,20000,8.8,Excellent,2,True,True,False,True,True
